asset_name,asset_type,ip_address,criticality,vulnerability_cve,cvss_score,epss_score,status,detected_at
Smart Traffic Camera K-12,CAMERA,10.0.1.12,CRITICAL,CVE-2025-1001,9.8,0.85,MITIGATED,2025-06-01T00:00:00Z
Water Treatment PLC-01,WATER_SYSTEM,10.0.2.5,CRITICAL,CVE-2025-1002,9.1,0.72,MITIGATED,2025-06-01T00:00:00Z
Main Web Server,SERVER,10.0.10.1,HIGH,CVE-2025-1003,7.5,0.45,ANALYZING,2025-06-02T00:00:00Z
Core Database Server,SERVER,10.0.10.5,CRITICAL,CVE-2025-1004,8.9,0.91,ISOLATED,2025-06-02T00:00:00Z
API Gateway - Kong,SERVER,10.0.10.10,HIGH,CVE-2025-1005,8.2,0.62,DETECTED,2025-06-03T00:00:00Z
IoT Temp Sensor B-7,IOT_SENSOR,10.0.3.15,LOW,CVE-2025-1006,4.3,0.12,DETECTED,2025-06-03T00:00:00Z
SCADA Master Station,SERVER,10.0.2.1,CRITICAL,CVE-2025-1007,9.4,0.88,MITIGATED,2025-06-04T00:00:00Z
Firewall Edge-01,NETWORK,10.0.0.1,HIGH,CVE-2025-1008,7.8,0.55,ANALYZING,2025-06-04T00:00:00Z
Mail Server,SERVER,10.0.10.20,MEDIUM,CVE-2025-1009,6.1,0.33,DETECTED,2025-06-05T00:00:00Z
Access Control Panel,IOT_CONTROLLER,10.0.4.1,CRITICAL,CVE-2025-1010,9.6,0.95,DETECTED,2025-06-05T00:00:00Z
